no,client,project,type,industry,desc,tags,image_url,image_hover,visible
16,보령제약,용각산 쿨 광고 캠페인,Print Ad,제약/의료,황사 미세먼지로 칼칼한 목을 겨냥한 보령 용각산 쿨 과립 제품 광고.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/23_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/23_1.png?raw=true,Y
17,보령제약,브이로토 EX 광고 캠페인,Print Ad,제약/의료,상쾌한 눈을 위한 보령 브이로토 EX 점안액 제품 광고.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/24_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/24_1.png?raw=true,Y
18,대성학원,2021 대성학원 재수정규반 브로슈어,Brochure,교육,11년 연속 수석배출 강남대성학원 재수정규반 소개 브로슈어.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/27_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/27_1.png?raw=true,Y
19,이감,2025 이감 국어/수학 파이널 홍보 포스터,Poster ,교육,이감 2025 국어/수학 파이널 프로그램 학원 비치용 홍보 포스터.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/17_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/17_1.png?raw=true,Y
20,이감,2026 이감 국어프로그램 홍보 포스터,Poster ,교육,이감 2026 국어 파이널 프로그램 학원 비치용 홍보 포스터.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/22_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/22_1.png?raw=true,Y
21,전라남도,전남 장성 홍길동축제 홍보물,Poster · Leaflet · OOH,공공/문화,제17회 전남 장성 홍길동축제의 통합 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/10_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/10_1.png?raw=true,Y
22,전라남도,전라남도 스탬프투어 홍보물,Poster · Leaflet · Brochure,공공/문화,생명의 땅 전라남도 추천 관광지 스탬프투어 통합 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/26_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/26_1.png?raw=true,Y
23,비상교육,매쓰캔 수학학원 지면광고,Print Ad,교육,수학학원 브랜드 슬로건 CAN을 앞세운 비상 매쓰캔 광고 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/Visang_POSTER_01.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/Visang_POSTER_02.png?raw=true,Y
24,이감,2022 이감 인사이트 분석 자료집,Brochure,교육,수능 국어 오답률과 출제 경향을 담은 이감 인사이트 분석 자료집.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/20_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/20_1.png?raw=true,Y
25,이감,2021 이감 인사이트 분석 자료집,Brochure,교육,수능 국어 오답률과 출제 경향을 담은 이감 인사이트 분석 자료집.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/21_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/21_1.png?raw=true,Y
26,경기대학교,신소재공학 전공 대학원 신입생 모집 홍보물,Poster · Leaflet,교육,기능성세라믹 R&D 인력양성 신소재공학 대학원 신입생 모집 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/13_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/13_1.png?raw=true,Y
27,경상남도,희망사다리 일자리사업 참여기업 모집 홍보물,Poster · Leaflet,공공/문화,경남 희망사다리 일자리사업 참여기업 모집공고 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/15_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/15_1.png?raw=true,Y
28,레이저옵텍,헬리오스785 브랜드 세일즈킷,Brochure,제약/의료,헬리오스785의 브로슈어 상담 가이드북 트리트먼트 가이드북을 아우르는 마케팅 세일즈 툴킷.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/28_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/28_1.png?raw=true,Y
29,레이저옵텍,스컬피오 브랜드 세일즈킷,Brochure,제약/의료,스컬피오 브로슈어 상담 가이드북 트리트먼트 가이드북을 아우르는 마케팅 세일즈 툴킷.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/29_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/29_1.png?raw=true,Y
30,레이저옵텍,팔라스 프리미엄 브랜드 세일즈킷,Brochure,제약/의료,팔라스 프리미엄 브로슈어 상담 가이드북 트리트먼트 가이드북을 아우르는 마케팅 세일즈 툴킷.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/30_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/30_1.png?raw=true,Y
31,시큐아이,통합 솔루션 가이드북,Brochure,IT/보안,시큐아이의 네트워크 보안과 클라우드 보안 제품을 한 권에 정리한 통합 솔루션 서비스 가이드북,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/31_.0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/31_1.png?raw=true,Y
32,시큐아이,블루맥스 ESP 내PC지키미 광고 캠페인,Print Ad · SNS,IT/보안,축구 골키퍼 은유로 접근 제어의 필요성을 풀어낸 시큐아이 블루맥스 ESP 내PC지키미의 지면 웹 광고.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/32_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/32_1.png?raw=true,Y
33,시큐아이,블루맥스 시리즈 세일즈 킷,Brochure · Poster,IT/보안,차세대 방화벽 Anti-DDoS 등 시큐아이 블루맥스 시리즈 제품별 브로슈어 데이터 시트 배너로 구성한 세일즈 킷,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/33_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/33_1.png?raw=true,Y
34,경상남도,찾아가는 도민노무사제 홍보물,Poster · SNS,공공/문화,노동자와 사업주 대상 노무 상담 컨설팅 교육을 안내하는 경남 찾아가는 도민노무사제 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/36_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/36_1.png?raw=true,Y
35,푸르고,오식스플러스 광고 캠페인,Print Ad,제약/의료,슈퍼맨을 은유로 멤브레인 노출에도 안전하다는 강점을 풀어낸 푸르고 오식스플러스의 지면 광고,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/37_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/37_1.png?raw=true,Y
36,평화문화진지,2021 입주작가 프로그램 포스터 시리즈,Poster,공공/문화,도봉 평화문화진지 2021 입주작가 프로그램을 알리는 강렬한 타이포그래피 포스터 시리즈.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/38_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/38_1.png?raw=true,Y
37,시큐아이,컨퍼런스 부스 디자인,Exhibition,IT/보안,차세대 보안 솔루션을 주제로 한 시큐아이 컨퍼런스 전시 부스 그래픽 디자인.,Exhibition,https://github.com/paybacktime236-tech/solutiond-website/blob/main/34_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/34_1.png?raw=true,Y
38,시큐아이,시큐아이 사보 블루진 BLUE ZINE,Brochure,IT/보안,Field Insights와 위협 인텔리전스 리포트를 담은 시큐아이 정기 소식지 블루진.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/35_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/35_1.png?raw=true,Y
39,삼성바이오로직스,내부통제 윤리경영 사내 캠페인,Poster,제약/의료,내부통제 의식을 강조한 삼성바이오로직스 컴플라이언스 사내 캠페인 포스터.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/39_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/39_1.png?raw=true,Y
40,보령제약,G스캐닝 유전체 검사 홍보물,Leaflet · Poster,제약/의료,새싹 뿌리 은유로 아이 유전체 검사의 필요성을 알린 보령 G스캐닝 검사의 홍보 리플렛과 배너.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/40_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/40_1.png?raw=true,Y
41,이투스교육,청솔학원 브랜드북,Brochure,교육,청솔학원의 입시 성공 로드맵과 관리 시스템을 담은 재수 학원 브랜드북.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/41_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/41_1.png?raw=true,Y
42,클라이피,뉴트리션핏 건강기능식품 패키지 5종,Package,제약/의료,CARE 타이포그래피와 컬러 구분으로 정리한 클라이피 뉴트리션핏 건강기능식품 패키지 5종.,Package,https://github.com/paybacktime236-tech/solutiond-website/blob/main/42_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/42_1.png?raw=true,Y
43,국제약품,원스아이 점안액 패키지,Package,제약/의료,무보존제 1회용 인공누액 국제약품 원스아이 점안액의 단상자 패키지 디자인.,Package,https://github.com/paybacktime236-tech/solutiond-website/blob/main/43_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/43_1.png?raw=true,Y
44,국제약품,네오벤졸정 패키지,Package,제약/의료,온가족이 함께 하는 광범위 구충제 국제약품 네오벤졸정의 단상자 패키지 디자인.,Package,https://github.com/paybacktime236-tech/solutiond-website/blob/main/44_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/44_1.png?raw=true,Y
45,운정한우,밀키트 패키지,Package,F&B,한우 설렁탕 곰탕 평양냉면을 담은 운정한우 밀키트 패키지 디자인.,Package,https://github.com/paybacktime236-tech/solutiond-website/blob/main/45_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/45_1.png?raw=true,Y
